code,country,age_midage,age_old,age_veryold,age_veryyoung,age_young,code_numeric,education,fhpolrigaug,laborshare,lpop,lrgdpch,medage,nsave,polity4,socialist,year,year_numeric,sample,worldincome,worlddemocracy,samplebalancefe,samplebalancegmm
CAF,Central African Republic,0.1730083,0.1135553,0.0671819,0.4036861,0.2425684,31,0.382,0.34,,7.424762,7.661548,20.5,0.1084011,0.15,0,1965,34,1,5.026985,0.1517938,0,0
CAN,Canada,0.1910763,0.1439679,0.1094115,0.3338246,0.2217197,32,8.069,1,0.5069515,9.887257,9.429002,25.5,0.2526233,1,0,1965,34,1,12.20606,0.3804021,0,0
CHE,Switzerland,0.1982244,0.1685163,0.1548574,0.2412498,0.2371521,33,7.32,1,,8.675222,9.781814,31.6,0.308424,1,0,1965,34,1,15.40102,0.415232,0,0
CHL,Chile,0.1658889,0.1117592,0.0754783,0.40014,0.2467335,34,4.773,0.97,0.1956914,9.056256,8.318665,20.3,0.1930926,0.8,0,1965,34,1,9.927291,0.2779211,0,0
CHN,China,0.177345,0.1164691,0.0697446,0.4018067,0.2346346,35,,0.16,,13.4803,6.643185,20.4,0.2222349,0.1,0,1965,34,1,4.597769,0.1378351,0,0
CIV,Cote d'Ivoire,0.1676977,0.0879364,0.040654,0.455369,0.2483429,36,,0.41,0.2425708,8.417815,7.517912,17.5,0.2853344,0.05,0,1965,34,1,13.21842,0.380977,0,0
CMR,Cameroon,0.170798,0.1049236,0.0572156,0.4103565,0.2567063,37,1.261,0.56,,8.679652,7.43674,19.7,0.12,0.2,0,1965,34,1,8.863318,0.2665491,0,0
COG,"Congo, Rep.",0.1636045,0.0997375,0.0551181,0.4243219,0.2572179,38,,0.46,0.3363029,7.013016,6.680865,18.8,0.144738,0.15,0,1965,34,1,18.97792,0.5637931,0,0
COL,Colombia,0.1433675,0.0910529,0.0520594,0.4672077,0.2463125,39,2.787,0.71,0.2330371,9.882826,7.917769,16.6,0.1788551,0.85,0,1965,34,1,5.293221,0.1552828,0,0
CRI,Costa Rica,0.1391524,0.0999367,0.0695762,0.4648956,0.226439,42,3.833,0.9,0.2336004,7.267525,8.222897,16.9,0.0948963,1,0,1965,34,1,15.96878,0.469731,0,0
CUB,Cuba,0.1660217,0.131837,0.0877193,0.3586171,0.255805,43,,0.05,,8.955964,,22.7,,0.15,0,1965,34,1,2.283593,0.0531366,,
CYP,Cyprus,0.1715266,0.1320755,0.1012007,0.3447684,0.2504288,44,4.526,0.87,0.3865559,6.36647,8.290691,23.3,0.1549428,,0,1965,34,1,19.29806,0.5426407,0,0
DEU,Germany,0.1946317,0.1757806,0.1875362,0.228503,0.2135485,47,,,,11.23373,,34.4,,,0,1965,34,1,9.817268,0.3184864,,
DEU_W,"Germany, West",,,,,,49,8.247,0.89,,,,,,1,0,1965,34,1,9.817268,0.3184864,,
DNK,Denmark,0.184111,0.1839008,0.1643548,0.2377049,0.2299285,52,8.859,1,0.5477003,8.467583,9.532278,32.8,0.2585835,1,0,1965,34,1,12.80868,0.3777051,0,0
DOM,Dominican Republic,0.1456362,0.0809674,0.0470557,0.4752892,0.2510515,53,2.271,0.39,0.3867526,8.244334,7.44714,16.2,0.0581016,,0,1965,34,1,11.2342,0.3481391,0,0
ECU,Ecuador,0.1504958,0.0941085,0.0664982,0.4466265,0.2422711,55,3.002,0.45,0.2641515,8.545587,7.652979,17.8,0.1079099,0.45,0,1965,34,1,9.07631,0.2759133,0,0
EGY,"Egypt, Arab Rep.",0.1603827,0.1022115,0.0663456,0.4354604,0.2355998,56,,0.39,0.535599,10.28838,7.471501,18.3,0.1388402,0.15,0,1965,34,1,8.211224,0.237003,0,0
ESP,Spain,0.2157095,0.1586237,0.127866,0.273388,0.2244128,58,3.751,0.1,0.5032479,10.37527,8.850598,30.1,0.245221,0.15,0,1965,34,1,6.889866,0.1860608,0,0
ETH_1,Ethiopia -pre 1993,0.1587167,0.0886741,0.042077,0.444914,0.2656181,61,,0.13,0.2731861,10.20422,6.351094,,0.1274753,0.05,0,1965,34,1,4.658369,0.1355489,,
FIN,Finland,0.1908414,0.1658633,0.1224803,0.2708151,0.25,63,5.782,0.97,0.4614142,8.425955,9.128719,28.5,0.2783094,1,0,1965,34,1,9.630773,0.2898038,0,0
FRA,France,0.2053817,0.1568358,0.1749867,0.2560605,0.2067353,65,5.861,0.91,,10.79462,9.192188,32.7,0.2691679,0.75,0,1965,34,1,8.176291,0.2136686,0,0
GAB,Gabon,0.192,0.15,0.11,0.32,0.228,66,,0.45,,6.204558,8.600772,26.7,0.3524416,0.15,0,1965,34,1,17.36884,0.5204095,0,0
GBR,United Kingdom,0.1930906,0.1897479,0.175817,0.2322689,0.2090756,67,7.17,0.99,0.5120257,10.9032,9.294972,34.8,0.1949944,1,0,1965,34,1,9.969481,0.2919121,0,0
GHA,Ghana,0.1541315,0.0850601,0.0429777,0.455999,0.2618317,70,0.868,0.24,0.239841,8.96559,6.712244,17.1,0.082856,0.05,0,1965,34,1,5.374551,0.1563554,0,0
GIN,Guinea,0.1605505,0.0931766,0.0432913,0.4504014,0.2525803,71,,0.37,,8.157084,7.944034,17.5,0.1734712,0.05,0,1965,34,1,8.079919,0.2243745,0,
GRC,Greece,0.2177523,0.1612677,0.1323822,0.2545901,0.2340077,75,4.948,0.83,0.3416657,9.053686,8.72038,30.7,0.1891701,0.7,0,1965,34,1,8.712493,0.2229482,0,0
GTM,Guatemala,0.1596583,0.0792817,0.044459,0.4640824,0.2525186,77,1.426,0.4,0.2859315,8.426393,7.845412,16.8,0.104852,0.25,0,1965,34,1,7.690609,0.2310232,0,0
HND,Honduras,0.1501783,0.0806595,0.040107,0.4759358,0.2531194,79,1.67,0.5,0.3166004,7.716461,7.488313,16.3,0.150693,0.45,0,1965,34,1,12.58742,0.3825281,0,0
HTI,Haiti,0.1601449,0.1125604,0.0748792,0.4062802,0.2461353,81,0.75,0.21,,8.329175,,19.9,0.0187875,0.05,0,1965,34,1,12.2354,0.3885999,,
IDN,Indonesia,0.1755898,0.1003706,0.0510812,0.4137999,0.2591585,83,1.357,0.1,,11.558,6.797702,19.7,0.0788969,0.25,0,1965,34,1,10.09814,0.3247084,0,0
IND,India,0.1771522,0.1081437,0.0579999,0.4041151,0.2525891,84,1.494,0.91,0.4796611,13.09668,6.831872,20.1,0.1440208,0.95,0,1965,34,1,2.535125,0.0690905,0,0
IRL,Ireland,0.1613352,0.1658553,0.1547288,0.3118915,0.2061892,85,6.449,0.97,0.4706181,7.964156,8.699453,28.3,0.1071816,1,0,1965,34,1,23.67035,0.7507501,0,0
IRN,Iran,0.1510586,0.097947,0.060785,0.4442971,0.2459122,86,0.843,0.45,0.2018831,10.11298,8.141539,17.7,0.2352577,0,0,1965,34,1,3.824746,0.1070633,0,0
IRQ,Iraq,0.1499498,0.0806169,0.0402457,0.4641424,0.2650451,87,0.399,0.11,0.3594878,8.984192,,16.7,,0.25,0,1965,34,1,,,,
ISL,Iceland,0.1822917,0.1354167,0.1145833,0.34375,0.2239583,88,5.886,1,0.5915233,5.267858,9.275016,24.3,0.3234161,1,0,1965,34,1,12.94652,0.3972724,0,0
ISR,Israel,0.1754386,0.1489279,0.0935673,0.3465887,0.2354776,89,6.76,0.97,0.3668935,7.848934,8.898729,23.6,0.1298453,1,0,1965,34,1,12.02682,0.3633017,0,0
ITA,Italy,0.2161649,0.1681346,0.146355,0.242972,0.2263735,90,4.766,0.97,0.3910902,10.86115,9.049049,32.1,0.2528988,1,0,1965,34,1,8.610308,0.2215224,0,0
JOR,Jordan,0.1472448,0.0758808,0.0542005,0.4480578,0.2746161,92,1.697,0.31,0.2753747,7.028202,7.919852,17.4,-0.0760662,0.05,0,1965,34,1,20.32829,0.4306111,0,0
JPN,Japan,0.2198805,0.1374683,0.0964189,0.2593623,0.2868701,93,7.221,1,0.3195295,11.50169,8.830431,27.3,0.3389693,1,0,1965,34,1,5.078575,0.1294852,0,0
KHM,Cambodia,0.1657441,0.0934549,0.0459134,0.4283621,0.2665256,97,,0.36,,8.722743,,18.5,,0.05,0,1965,34,1,,,,
KOE,Korea,0.1693233,0.0989155,0.0529878,0.4061188,0.2726545,100,,,,10.62663,,,,,0,1965,34,1,,,,
KOR,"Korea, Rep.",0.1679285,0.097266,0.0509288,0.432387,0.2514897,101,4.426,0.53,0.2492612,10.25871,7.497014,18.7,0.0863921,0.65,0,1965,34,1,15.14197,0.4618677,0,0
LAO,Lao PDR,0.1700205,0.0969199,0.0427105,0.4234086,0.2669404,103,,0.43,,7.796469,,18.8,,,0,1965,34,1,,,,
LBN,Lebanon,0.167673,0.1007896,0.0775662,0.4356712,0.2183,104,,0.74,,7.731957,,18.8,,0.6,0,1965,34,1,,,,
